[2021-08-2304:03:44 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 760217600', 'D60: 11600']]
[2021-08-2304:03:45 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 0', 'D60: 0']]
[2021-08-2304:03:46 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 3914858496', 'D60: 4294961496']]
[2021-08-2304:03:47 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 3914858496', 'D60: 4294961496']]
[2021-08-2304:03:49 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 3914858496', 'D60: 4294961496']]
[2021-08-2304:03:50 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 3914858496', 'D60: 4294961496']]
[2021-08-2304:03:51 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 3914858496', 'D60: 4294961496']]
[2021-08-2304:03:52 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 3914858496', 'D60: 4294961496']]
[2021-08-2304:03:54 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 3914858496', 'D60: 4294961496']]
[2021-08-2304:03:55 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 3914858496', 'D60: 4294961496']]
[2021-08-2304:03:56 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 3914858496', 'D60: 4294961496']]
[2021-08-2304:03:57 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 3914858496', 'D60: 4294961496']]
[2021-08-2304:03:59 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 3914858496', 'D60: 4294961496']]
[2021-08-2304:04:00 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 3914858496', 'D60: 4294961496']]
[2021-08-2304:04:01 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 3914858496', 'D60: 4294961496']]
[2021-08-2304:04:02 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 3914858496', 'D60: 4294961496']]
[2021-08-2304:04:03 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 3914858496', 'D60: 4294961496']]
[2021-08-2304:04:05 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 3914858496', 'D60: 4294961496']]
[2021-08-2304:04:06 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 3914858496', 'D60: 4294961496']]
[2021-08-2304:04:07 PM-test.py-INFO:['D51: 0', 'D52: 0', 'D53: 0', 'D54: 0', 'D55: 196608', 'D56: 3', 'D57: 1966080', 'D58: 30', 'D59: 3914858496', 'D60: 4294961496']]
